DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS EOD/T,EOD/R,bad_2,bad_3,bad_4,year
12-01,(THU),272 4182.89,15.38,1066.91,4.09,,66,0,0 0,,,,,2005
12-02,(FRI),268 3720.79,13.88,881,68 3.56,,67,1,0 0,,,,,2005
12-03,(SAT),320 4776.16,14.93,1123.26,3.66,,64,3,0 0,,,,,2005
*12-04,(SUN),0,,,,,,,,,,,,2005
12 - 05,(MON),216 2989.02,13.84,691.02,3.42,,57,0,0 0,,,,,2005
12 - 06,(TUE),80 1217.47,15.22,328.8,4.38,,53,1,0 0,,,,,2005
12-07,(WED),133 1866.70,14.04,491.62,3.93,,59,0,0 0,,,,,2005
12 - 08,(THU),144 1966.06,13.65,423,. 84 3 . 24,,58,1,0 0,,,,,2005
12 - 09,(FRI),301 4138.91,13.75,930,. 28 3.38,,64,2,0 0,,,,,2005
12 -10,(SAT),276 4273.58,15.48,1195.28,4.6,,73,0,0 0,,,,,2005
*12- 11,(SUN),0,,,,,,,,,,,,2005
12-12,(MON),258 3741.54,14.5,964.43,3.95,,63,0,0 0,,,,,2005
12-13,(TUE),252 3553.85,14.1,860,. 14 3.57,,59,1,0 0,,,,,2005
12 -14,(WED),229 3093.95,13.51,723.58,3.41,,55,3,0 0,,,,,2005
12-15,(THU),230 3454.23,15.02,847.91,3.8,,58,0,0 0,,,,,2005
12-16,(FRI),318 4712.69,14.82,1116.68,3.64,,65,2,0 0,,,,,2005
12 -17,(SAT),327 5156.17,15 . 77,1507.4,4.93,,75,1,0 0,,,,,2005
*12-18,(SUN),0,,,,,,,,,,,,2005
12 - 19,(MON),66857.77,13,189,. 07 3.00,,54,1,0 0,,,,,2005
12- 20,(TUE),243 34 3 3.51,14.13,753.84,3 . 32,,60,1,0 0,,,,,2005
12 - 21,(WED),306 4349.96,14.22,950.01,3.3,,64,1,0 0,,,,,2005
12 - 22,(THU),374 5510.22,14.73,1297.22,3.53,,61,0,0 0,,,,,2005
12 -2 3,(FRI),445 6471.55,14 . 54,1635,. 43 3 . 81,,64,0,0 0,,,,,2005
1 2- 24,(SAT),398 5734. 24,14 . 41,1535.05,4 . 06,,67,0,0 0,,,,,2005
*1 2- 25,(SUN),0,,,,,,,,,,,,2005
12- 26,(MON),218 3150.06,14 . 45,715.84,3.46,,55,0,0 0,,,,,2005
12-27,(TUE),293 4296.18,14.66,1044.52,3 . 65,,57,0,0 0,,,,,2005
12-28,(WED),306 4430 . 35,14.48,1111,. 50 3 . 74,,60,2,0 0,,,,,2005
12- 29,(THU),244 3490.10,14.3,812,. 13 3 . 46,,57,1,0 0,,,,,2005
12-30,(FRI),417 6065.61,14 . 55,1569.44,3.89,,64,0,0 0,,,,,2005
12-31,(SAT),440 5477.18,12.45,1527.58,3.64,,60,0,0 0,,,,,2005
11-01,(TUE),113,1631.37,14.44,373.27,3.36,50,0,0,0,,,,2005
11-02,(WED),329,4576.78,13.91,1048.48,3.38,61,0,0,0,,,,2005
11-03,(THU),322,4694.72,14.58,1095.62,3.51,63,0,0,0,,,,2005
11-04,(FRI),358,5339.64,14.92,1423.38,4.07,62,0,0,0,,,,2005
11-05,(SAT),395,5929.57,15.01,1540.32,4.04,72,1,0,0,,,,2005
*11-06,(SUN),0,,,,,,,,,,,,2005
11-07,(MON),301,4252.31,14.13,888.35,3.11,58,2,0,0,,,,2005
11-08,(TUE),282,4038.06,14.32,744.82,2.78,57,2,1,2,,,,2005
11-09,(WED),274,3713.88,13.55,970.66,3.69,63,2,0,0,,,,2005
11 -10,(THU),297,4112.76,13.85,953.3,3.29,57,0,0,0,,,,2005
11-11,(FRI),346,5221. 32,15.09,1353.55,4.08,66,1,0,0,,,,2005
11 -12,(SAT),362,5613.12,15.51,1487.03,4.27,64,1,0,0,,,,2005
*11-13,(SUN),0,,,,,,,,,,,,2005
11 -14,(MON),285,4123.85,14.47,999.94,3.72,61,1,0,0,,,,2005
11-15,(TUE),281,3899.53,13.88,829.93,3.13,60,0,0,0,,,,2005
11-16,(WED),282,3740.86,13.27,816.74,3.08,60,0,0,0,,,,2005
11-17,(THU),273,3957.97,14.5,881.7,3.35,57,0,0,0,,,,2005
11-18,(FRI),252,3724.23,14.78,919.53,3.72,65,0,0,0,,,,2005
11-19,(SAT),308,4882.48,15.85,1268.96,4.29,70,2,0,0,,,,2005
*11-20,(SUN),0,,,,,,,,,,,,2005
11-21,(MON),50,758.43,15.17,197.81,4.04,63,0,0,0,,,,2005
11-22,(TUE),286,4043.1,14.14,934.22,3.57,58,0,0,0,,,,2005
11-23,(WED),427,6083.17,14.25,1335.46,3.34,62,3,0,0,,,,2005
*11 -24,(THU),0,,,,,,,,,,,,2005
11-25,(FRI),310,4272.78,13.78,833.63,2.83,59,0,0,0,,,,2005
11-26,(SAT),343,5112.04,14.9,1156.74,3.48,64,2,0,0,,,,2005
*11 -27,(SUN),0,,,,,,,,,,,,2005
11-28,(MON),178,2470.01,13.88,632.41,3.88,61,0,0,0,,,,2005
*11-29,(TUE),0,,,,,,,,,,,,2005
11-30,(WED),202,2670.77,13.22,702.83,3.88,61,3,0,0,,,,2005
10-01,(SAT),178,2687.94,15.1,736.77,4.47,68,1,0,0,,,,2005
*10-02,(SUN),0,,,,,,,,,,,,2005
10 -03,(MON),140,2028.57,14.49,581.16,4.54,61,1,0,0,,,,2005
10 -04,(TUE),84,1183.6,14.09,331.34,4.6,65,0,0,0,,,,2005
10 -05,(WED),106,1538.51,14.51,445.83,4.79,67,0,0,0,,,,2005
10 -06,(THU),7,58.9,8.41,16.35,2.72,50,0,0,0,,,,2005
10-07,(FRI),121,1748.28,14.45,425.85,3.98,62,1,0,0,,,,2005
10 -08,(SAT),330,5225.3,15.83,1686.66,5.53,76,0,0,0,,,,2005
*10-09,(SUN),0,,,,,,,,,,,,2005
10 -10,(MON),187,2795.25,14.95,855.24,5.06,71,4,0,0,,,,2005
10 -11,(TUE),196,2749.53,14.03,565.9,3.09,60,0,0,0,,,,2005
10 -12,(WED),124,1817.11,14.65,412.53,3.53,57,1,0,0,,,,2005
10-13,(THU),172,2613.18,15.19,703.46,4.42,73,1,0,0,,,,2005
10-14,(FRI),244,3640.36,14.92,947.95,4.09,67,0,0,0,,,,2005
10 -15,(SAT),295,4412.6,14.96,1198.01,4.37,73,0,0,0,,,,2005
*10-16,(SUN),0,,,,,,,,,,,,2005
10-17,(MON),261,3793.63,14.53,941.77,3.89,60,0,0,0,,,,2005
10 -18,(TUE),191,2799.53,14.66,730.76,4.11,57,1,0,0,,,,2005
10 -19,(WED),104,1414.19,13.6,351. 93,3.59,55,1,0,0,,,,2005
10-20,(THU),77,1050.98,13.65,255.47,3.7,65,0,0,0,,,,2005
*10-21,(FRI),0,,,,,,,,,,,,2005
*10-22,(SAT),0,,,,,,,,,,,,2005
*10-23,(SUN),0,,,,,,,,,,,,2005
10 -24,(MON),0,,,,,,,,,,,,2005
*10-25,(TUE),0,,,,,,,,,,,,2005
10-26,(WED),221,2559.49,11.58,501.61,2.39,59,0,0,0,,,,2005
10 -27,(THU),340,4647.16,13.67,883.76,2.69,60,2,0,0,,,,2005
10-28,(FRI),422,5306.54,12.57,1059.64,2.62,60,0,0,0,,,,2005
10-29,(SAT),493,7200.73,14.61,1968.92,4.14,66,2,0,0,,,,2005
*10 -30,(SUN),0,,,,,,,,,,,,2005
10-31,(MON),397,5493.56,13.84,1058.36,2.78,58,0,0,0,,,,2005
,9-01,(THU),157,2200.66,14.02,553.86,3.69,64,2,0,0,,,2005
,9-02,(FRI),191,2823.59,14.78,702.75,4.02,69,4,0,0,,,2005
,9-03,(SAT),193,3066.94,15.89,912.13,5.07,75,0,0,0,,,2005
*,9-04,(SUN),0,,,,,,,,,,,2005
*,9-05,(MON),0,,,,,,,,,,,2005
,9 - 06,(TUE),146,2035.01,13.94,527.86,3.97,62,0,0,0,,,2005
,9-07,(WED),141,1986.57,14.09,442,3.48,61,2,0,0,,,2005
,9-08,(THU),162,2340.14,14.45,500.59,3.45,61,2,0,0,,,2005
,9-09,(FRI),266,3741.22,14.06,840.07,3.36,65,1,0,0,,,2005
