DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS,EOD/T,EOD/R,bad_2,year
*12-01 (THU),226,3537.4,15.65,1475.5,7.2,,77,0,0,0,,,2011
*12-02 (FRI),286,4740.82,16.58,2034.87,7.65,,77,0,0,0,,,2011
*12-03 (SAT),303,5371.77,17.73,2326.78,8.11,,84,0,0,0,,,2011
*12-04 (SUN),0,,,,,,,,,,,,2011
*12-05 (MON),270,4392.83,16.27,1808.61,7.29,,81,0,0,0,,,2011
*12-06 (TUE),265,4168.33,15.73,1458.5,6.03,,76,3,0,0,,,2011
*12-07 (WED),259,3371.44,13.02,1345.39,5.56,,72,0,0,0,,,2011
*12 -08 (THU),266,3991.43,15.01,1496.39,6.34,,76,1,0,0,,,2011
*12-09 (FRI),178,2785.41,15.65,1174.08,7.38,,75,0,0,0,,,2011
*12 -10 (SAT),169,2870.31,16.98,1362.92,9.09,,86,0,0,0,,,2011
*12-11 (SUN),0,,,,,,,,,,,,2011
*12-12 (MON),215,3211.25,14.94,1200.08,6.28,,80,0,0,0,,,2011
*12-13 (TUE),190,2741. 42,14.43,999.2,5.81,,81,1,0,0,,,2011
*12-14 (WED),215,3365.03,15.65,1342.15,6.64,,69,2,0,0,,,2011
*12 -15 (THU),231,3693.88,15.99,1579.83,7.45,,76,0,0,0,,,2011
*12-16 (FRI),232,3711.55,16,1561.72,7.16,,78,2,0,0,,,2011
*12-17 (SAT),356,5730.44,16.1,2222.17,6.75,,84,0,0,0,,,2011
*12 -18 (SUN),0,,,,,,,,,,,,2011
*12-19 (MON),307,4733.6,15.42,1712.82,6.03,,76,0,0,0,,,2011
*12-20 (TUE),282,4389.06,15.56,1634.48,6.03,,76,4,0,0,,,2011
*12-21 (WED),305,4816.99,15.79,2098.34,7.31,,80,0,0,0,,,2011
*12-22 (THU),344,5759.45,16.74,2417.23,7.41,,86,0,0,0,,,2011
*12-23 (FRI),393,6249.19,15.9,2185.59,5.88,,79,3,0,0,,,2011
*12 -24 (SAT),306,5300.93,17.32,2217.71,7.65,,86,0,0,0,,,2011
*12-25 (SUN),0,,,,,,,,,,,,2011
*12- 26 (MON),223,3547.89,15.91,1419.58,6.76,,80,0,0,0,,,2011
*12-27 (TUE),113,1553.22,13.75,548.78,5.49,,81,1,0,0,,,2011
*12-28 (WED),300,4359.97,14.53,1439.26,5.2,,80,1,0,0,,,2011
*12-29 (THU),302,4941. 88,16.36,1943.37,6.94,,80,1,0,0,,,2011
*12 -30 (FRI),386,6581.65,17.05,2659.05,7.13,,85,1,0,0,,,2011
*12-31 (SAT),383,6412.35,16.74,2512.69,6.88,,81,1,0,0,,,2011
*11-01,(TUE),336,4894,14.57,1808.27,6.03,80,1,0,0,,,2011
*11-02,(WED),283,4224.77,14.93,1673.99,6.41,75,6,0,0,,,2011
*11-03,(THU),294,5044.41,17.16,2115.85,7.58,76,0,0,0,,,2011
*11-04,(FRI),284,4497.79,15.84,1758.13,6.66,78,1,0,0,,,2011
*11-05,(SAT),357,5929.22,16.61,2495,7.49,82,0,0,0,,,2011
*11-06,(SUN),0,,,,,,,,,,,2011
*11-07,(MON),343,5454.19,15.9,2155.92,6.93,80,1,0,0,,,2011
*11-08,(TUE),327,5490.88,16.79,2182.61,6.97,78,1,0,0,,,2011
*11-09,(WED),275,4175.7,15.18,1337.48,5.14,72,0,0,0,,,2011
*11-10,(THU),331,5235.31,15.82,1700.2,5.52,75,0,0,0,,,2011
*11-11,(FRI),361,5693.14,15.77,2027.36,6.02,81,0,0,0,,,2011
*11-12,(SAT),347,6220.64,17.93,2797.64,8.58,83,0,0,0,,,2011
*11-13,(SUN),0,,,,,,,,,,,2011
*11-14,(MON),314,5037.31,16.04,1778.26,6.01,75,0,0,0,,,2011
*11-15,(TUE),286,4347.75,15.2,1455.92,5.37,75,0,0,0,,,2011
*11-16,(WED),331,4737.55,14.31,1502.11,4.88,68,1,0,0,,,2011
*11-17,(THU),349,5457.27,15.64,1631. 49,4.9,72,0,0,0,,,2011
*11-18,(FRI),246,3953.69,16.07,1444.86,6.31,77,1,0,0,,,2011
*11-19,(SAT),376,5802.73,15.43,2215.61,6.28,77,1,0,0,,,2011
*11-20,(SUN),0,,,,,,,,,,,2011
*11-21,(MON),286,4693.03,16.41,1978.09,7.38,81,0,0,0,,,2011
*11-22,(TUE),249,3781 . 72,15.19,1568.89,7.13,77,0,1,1,,,2011
*11-23,(WED),321,4558.85,14.2,1384.95,4.59,64,0,0,0,,,2011
*11-24,(THU),0,,,,,,,,,,,2011
*11-25,(FRI),253,4053.94,16.02,1624.33,6.88,79,0,0,0,,,2011
*11-26,(SAT),248,4419.11,17.82,2223.89,9.71,80,1,0,0,,,2011
*11-27,(SUN),0,,,,,,,,,,,2011
*11-28,(MON),227,3467.52,15.28,1302.47,6.17,75,1,0,0,,,2011
*11-29,(TUE),232,3450.31,14.87,1133.53,5.25,74,0,0,0,,,2011
*11-30,(WED),219,3557.66,16.25,1329.47,6.49,71,0,0,0,,,2011
10-01,(SAT),271,4658.63,17.19,2259.97,8.97,82,2,0,0,,,2011
*10-02,(SUN),0,,,,,,,,,,,2011
10-03,(MON),223,3461.9,15.52,1433.46,7.03,77,0,0,0,,,2011
10-04,(TUE),210,3372.37,16.06,1394.32,7.26,79,0,0,0,,,2011
10-05,(WED),197,3140.61,15.94,1472.34,8.23,78,0,0,0,,,2011
10-06,(THU),186,3110.8,16.72,1380.97,7.85,82,0,0,0,,,2011
10-07,(FRI),233,4018.83,17.25,1909.78,8.72,83,0,0,0,,,2011
10-08,(SAT),172,3261.94,18.96,1672.77,10.72,87,0,0,0,,,2011
*10-09,(SUN),0,,,,,,,,,,,2011
10-10,(MON),145,2428.14,16.75,1164.09,8.95,82,0,0,0,,,2011
10-11,(TUE),197,2996.03,15.21,1225.03,6.73,79,0,0,0,,,2011
10 -12,(WED),175,2472.01,14.13,984.7,6.15,74,0,0,0,,,2011
10-13,(THU),201,3237.88,16.11,1295.81,7,75,0,0,0,,,2011
10 -14,(FRI),232,3815.88,16.45,1660.11,7.65,78,0,0,0,,,2011
10 -15,(SAT),237,4146.22,17.49,2110.61,9.55,83,1,0,0,,,2011
*10-16,(SUN),0,,,,,,,,,,,2011
*10 -17,(MON),0,,,,,,,,,,,2011
*10-18,(TUE),0,,,,,,,,,,,2011
10-19,(WED),52,824.66,15.86,391. 96,9.33,79,0,3,0,,,2011
10-20,(THU),197,3076.7,15.62,1381.91,8.08,77,0,0,0,,,2011
10 -21,(FRI),320,5269.29,16.47,2331. 78,7.88,80,2,0,0,,,2011
10 -22,(SAT),317,4790.37,15.11,1716.98,5.84,76,2,0,0,,,2011
*10-23,(SUN),0,,,,,,,,,,,2011
10-24,(MON),268,4220.53,15.75,1479.02,5.89,72,0,0,0,,,2011
10 -25,(TUE),231,3520.79,15.24,1212.45,5.64,71,1,0,0,,,2011
10-26,(WED),222,3120.65,14.06,1433.84,7.1,76,0,1,0,,,2011
10 -27,(THU),161,2700.53,16.77,1168.41,7.79,80,0,0,0,,,2011
10-28,(FRI),148,2311.55,15.62,848.66,6.33,81,0,0,0,,,2011
10-29,(SAT),84,1420.14,16.91,826.24,11.8,83,1,0,0,,,2011
*10-30,(SUN),0,,,,,,,,,,,2011
10 -31,(MON),4,10,2.5,0,0,0,0,1,0,,,2011
,9 -01,(THU),117,1618.97,13.84,660.8,6.96,88,0,0,0,,2011
,9 -02,(FRI),163,2337.09,14.34,853.26,6.05,86,3,0,0,,2011
,9 -03,(SAT),191,2854.71,14.95,1012.17,5.88,80,1,0,0,,2011
*,9 -04,( SUN),0,,,,,,,,,,2011
*,9 -05,(MON),0,,,,,,,,,,2011
,9 -06,(TUE),102,1580.6,15.5,737.16,8.1,80,0,0,0,,2011
,9 -07,(WED),79,1007.47,12.75,360.46,5.72,84,0,0,0,,2011
,9 -08,(THU),151,2170.89,14.38,805.67,5.97,79,0,0,1,,2011
,9 -09,(FRI),163,2615.82,16.05,1050.38,7.35,85,0,0,0,,2011
,9 -10,(SAT),222,3560.85,16.04,1450.02,7.18,83,0,0,0,,2011
*,9 -11,(SUN),0,,,,,,,,,,2011
,9 -12,(MON),138,2082.19,15.09,714.97,5.91,81,0,0,0,,2011
,9 -13,(TUE),137,2056.78,15.01,667.56,5.34,78,0,0,0,,2011
,9 -14,(WED),143,1993.62,13.94,681. 35,5.36,70,1,0,0,,2011
