wday,day,month,tcars,revenue,year
THU,01,3,NA,NA,2018
FRI,02,3,NA,NA,2018
SAT,03,3,NA,NA,2018
SUN,04,3,NA,NA,2018
MON,05,3,NA,NA,2018
TUE,06,3,NA,NA,2018
WED,07,3,NA,NA,2018
THU,08,3,NA,NA,2018
FRI,09,3,NA,NA,2018
SAT,10,3,NA,NA,2018
THU,01,2,318,6525.42,2018
FRI,02,2,368,7528.72,2018
SAT,03,2,260,5209.03,2018
NA,04,2,2,NA,2018
MON,05,2,301,5901.02,2018
TUE,06,2,267,5266.05,2018
WED,07,2,259,NA,2018
THU,08,2,267,5103.18,2018
FRI,09,2,354,7391.26,2018
SAT,10,2,350,7129.11,2018
SUN,11,2,0,0,2018
MON,12,2,363,6868.28,2018
TUE,13,2,346,7187.36,2018
WED,14,2,293,5901.53,2018
THU,15,2,350,6974.88,2018
FRI,16,2,400,8021.68,2018
SAT,17,2,428,8777.93,2018
SUN,18,2,0,0,2018
MON,19,2,329,NA,2018
TUE,20,2,247,4674.02,2018
WED,21,2,321,6262.46,2018
THU,22,2,272,NA,2018
FRI,23,2,305,6115.54,2018
SAT,24,2,382,8056.42,2018
SUN,25,2,0,0,2018
MON,26,2,375,7042.87,2018
TUE,27,2,322,6452.53,2018
WED,28,2,320,NA,2018
MON,01,1,0,0,2018
TUE,02,1,261,5257.48,2018
WED,03,1,62,1150.17,2018
THU,04,1,371,7203.63,2018
FRI,05,1,395,7690.48,2018
SAT,06,1,396,8133.72,2018
SUN,07,1,0,0,2018
MON,08,1,311,6621.29,2018
TUE,09,1,271,5586.75,2018
WED,10,1,235,4846.46,2018
THU,11,1,260,5187.39,2018
FRI,12,1,140,2936.64,2018
SAT,13,1,370,7670.83,2018
SUN,14,1,0,0,2018
MON,15,1,331,6643.91,2018
TUE,16,1,334,NA,2018
WED,17,1,260,5050.39,2018
THU,18,1,244,4780.03,2018
FRI,19,1,263,5222.06,2018
SAT,20,1,244,5069.99,2018
SUN,21,1,0,0,2018
MON,22,1,308,6248.82,2018
TUE,23,1,133,2774.87,2018
WED,24,1,307,NA,2018
THU,25,1,294,5728.95,2018
FRI,26,1,317,6399.84,2018
SAT,27,1,245,5003.07,2018
SUN,28,1,0,0,2018
MON,29,1,169,3045.57,2018
FRI,01,12,335,6952.46,2017
SAT,02,12,332,6647.69,2017
SUN,03,12,0,0,2017
MON,04,12,265,5317.46,2017
TUE,05,12,203,4162.89,2017
WED,06,12,259,4862.76,2017
THU,07,12,206,3824.48,2017
FRI,08,12,206,4318.69,2017
SAT,09,12,0,0,2017
SUN,10,12,0,0,2017
MON,11,12,243,NA,2017
TUE,12,12,217,4198.22,2017
WED,13,12,216,NA,2017
THU,14,12,228,4480.71,2017
FRI,15,12,242,4896.57,2017
SAT,16,12,321,6719.04,2017
SUN,17,12,0,0,2017
MON,18,12,221,4514.12,2017
TUE,19,12,254,5050.52,2017
WED,20,12,257,5443.93,2017
THU,21,12,260,NA,2017
FRI,22,12,325,6768.07,2017
SAT,23,12,388,NA,2017
SUN,24,12,0,0,2017
MON,25,12,0,0,2017
TUE,26,12,254,4862.93,2017
WED,27,12,248,4649.53,2017
THU,28,12,305,6340.86,2017
FRI,29,12,305,6186.37,2017
WED,01,11,217,NA,2017
THU,02,11,261,5665.03,2017
FRI,03,11,274,5409.77,2017
SAT,04,11,317,6724.67,2017
SUN,05,11,0,0,2017
MON,06,11,289,21.09,2017
TUE,07,11,268,5838.97,2017
WED,08,11,257,21.56,2017
THU,09,11,261,5401.35,2017
FRI,10,11,312,6414.96,2017
SAT,11,11,349,7009.21,2017
SUN,12,11,0,0,2017
MON,13,11,200,3831.71,2017
TUE,14,11,310,6239.12,2017
WED,15,11,274,5530.39,2017
THU,16,11,260,5341.03,2017
FRI,17,11,361,NA,2017
SAT,18,11,366,7472.88,2017
SUN,19,11,0,0,2017
MON,20,11,292,6078.24,2017
TUE,21,11,278,5413.63,2017
WED,22,11,314,21.59,2017
THU,23,11,0,0,2017
FRI,24,11,216,4262.72,2017
SAT,25,11,231,4675.46,2017
SUN,26,11,0,0,2017
MON,27,11,234,4312.29,2017
TUE,28,11,266,NA,2017
WED,29,11,217,4262.58,2017
SUN,01,10,0,0,2017
MON,02,10,146,3090.91,2017
TUE,03,10,102,2055.25,2017
WED,04,10,115,2160.57,2017
THU,05,10,36,NA,2017
FRI,06,10,156,NA,2017
SAT,07,10,198,21.32,2017
SUN,08,10,0,0,2017
MON,09,10,230,4627.94,2017
TUE,10,10,195,21.21,2017
WED,11,10,196,4032.05,2017
THU,12,10,124,2593.48,2017
FRI,13,10,208,4157.65,2017
SAT,14,10,203,4224.74,2017
SUN,15,10,0,0,2017
MON,16,10,184,3451.03,2017
TUE,17,10,169,3488.82,2017
WED,18,10,203,4180.12,2017
THU,19,10,204,4000.95,2017
FRI,20,10,253,NA,2017
SAT,21,10,246,5198.07,2017
SUN,22,10,0,0,2017
MON,23,10,203,4130.87,2017
TUE,24,10,0,0,2017
WED,25,10,184,3604.59,2017
THU,26,10,231,4425.38,2017
FRI,27,10,212,4347.32,2017
SAT,28,10,56,914.48,2017
NA,29,10,0,0,2017
FRI,01,9,166,3394.22,2017
SAT,02,9,0,0,2017
SUN,03,9,0,0,2017
MON,04,9,0,0,2017
