Year,Month,Date,Index value,Curfin,Futfin,USfufi,USnex5,Gbtime,X__1
1985,2,1985 -2,101.84,92.88,104.13,113.2,88.16,110.84,
1985,3,1985-3,100.59,90.55,103.6,108.56,87.24,113.02,
1985,4*,1985-4,102.16,97.275,103.63,107.88,86.685,115.335,
1985,5,1985-5,103.73,104,103.66,107.2,86.13,117.65,
1985,6,1985-6,97.1,90.71,104.21,100.45,77.21,112.93,
1985,7,1985-7,102.1,94.43,109.4,105.27,83.93,117.49,
1985,8*,1985-8,99.125,92.705,106.655,99.4,80.48,116.4,
1985,9,1985-9,96.15,90.98,103.91,93.53,77.03,115.31,
1985,10,1985-10,95.29,93.34,103.93,93.34,74.5,111.33,
1985,11,1985-11,96.75,91.98,107.05,99.74,74.97,110.03,
1985,12*,1985-12,97.39,89.425,106.21,100.72,79.315,111.295,
1986,1,1986-1,98.03,86.87,105.37,101.7,83.66,112.56,
1986,2,1986 -2,98.36,92.06,102.32,100.73,81.94,114.75,
1986,3,1986-3,101.49,92.84,107.79,106.49,83.56,116.79,
1986,4*,1986-4,101.12,93.675,105.74,105.31,82.48,118.4,
1986,5,1986-5,100.75,94.51,103.69,104.13,81.4,120.01,
1986,6,1986-6,100.99,97.09,108.45,101.66,80.43,117.29,
1986,7,1986-7,100.57,91.89,108.35,98.59,84.46,119.57,
1986,8*,1986-8,97.695,93.97,105.635,92.785,76.285,119.805,
1986,9,1986-9,94.82,96.05,102.92,86.98,68.11,120.04,
1986,10,1986-10,98.37,96.24,104.3,92.28,80.11,118.95,
1986,11,1986-11,97.22,93.36,108.05,95.74,74.53,114.42,
1986,12*,1986-12,96.1,91.745,107.575,95.715,74.13,111.33,
1987,1,1987-1,94.98,90.13,107.1,95.69,73.73,108.24,
1987,2,1987 -2,96.47,88.32,107.37,99.9,76.74,110.01,
1987,3,1987-3,94.76,90.3,101.7,94.31,74.24,113.26,
1987,4*,1987-4,94.19,90.65,101.215,92.115,73.57,113.41,
1987,5,1987-5,93.62,91,100.73,89.92,72.9,113.56,
1987,6,1987-6,95.23,92.34,106.91,89.84,69.68,117.36,
1987,7,1987-7,91.81,89.96,100.39,90.99,68.82,108.9,
1987,8*,1987-8,95.32,92.615,104.44,94.135,72.415,113.005,
1987,9,1987-9,98.83,95.27,108.49,97.28,76.01,117.11,
1987,10,1987-10,101.48,96.99,112.29,96.55,86.5,115.06,
1987,11,1987-11,95.27,94.33,110.87,90.49,82.36,98.32,
1987,12*,1987-12,94.66,91.46,110.135,90.695,79.69,101.33,
1988,1,1988-1,94.05,88.59,109.4,90.9,77.02,104.34,
1988,2,1988 -2,91.79,88.37,105.76,91.24,71.27,102.31,
1988,3,1988-3,90.96,86.04,104.46,87.8,72.77,103.73,
1988,4*,1988-4,96.235,93.48,106.335,92.98,79.925,108.445,
1988,5,1988-5,101.51,100.92,108.21,98.16,87.08,113.16,
1988,6,1988-6,105.07,101.15,111.38,105.84,94.9,112.09,
1988,7,1988-7,97.74,92.52,104.54,94.11,85.28,112.22,
1988,8*,1988-8,96.545,92.215,104.29,95.06,83.4,107.735,
1988,9,1988-9,95.35,91.91,104.04,96.01,81.52,103.25,
1988,10,1988-10,96.24,88.73,106.41,95.51,85.22,105.32,
1988,11,1988-11,96.87,93.28,103.85,93.51,87.88,105.85,
1988,12*,1988-12,97.44,92.06,102.565,97.05,85.79,109.74,
1989,1,1989-1,98.01,90.84,101.28,100.59,83.7,113.63,
1989,2,1989 -2,99.91,98.05,104.53,100.29,91.68,105,
1989,3,1989-3,97.6,94.72,107.18,93.21,89.87,103.03,
1989,4*,1989-4,97.155,93.84,106.18,92,91.17,102.58,
1989,5,1989-5,96.71,92.96,105.18,90.79,92.47,102.13,
1989,6,1989-6,100.7,94.19,110.61,94.88,96.54,107.29,
1989,7,1989-7,95.24,90.77,107,88.27,84.07,106.09,
1989,8*,1989-8,93.71,90.205,105.25,89.305,79.22,104.56,
1989,9,1989-9,92.18,89.64,103.5,90.34,74.37,103.03,
1989,10,1989-10,94.35,92.57,103.53,87.86,79.45,108.37,
1989,11,1989-11,92.76,89.07,102.58,88.02,80.36,103.78,
1989,12*,1989-12,90.2,87.92,99.605,81.95,75.88,105.645,
1990,1,1990-1,87.64,86.77,96.63,75.88,71.4,107.51,
1990,2,1990 -2,88.9,88.01,95.56,80.69,71.93,108.52,
1990,3,1990-3,90.5,86.27,97.88,85.65,71.69,110.98,
1990,4,1990-4,91.4,91.38,99.07,85.97,77.01,103.48,
1990,5*,1990-5,90.4,89.12,102.285,79.6,76.51,104.49,
1990,6,1990-6,89.4,86.86,105.5,73.23,76.01,105.5,
1990,7,1990-7,82.2,82.53,94.21,68.27,66.64,99.23,
1990,8*,1990-8,78.35,82.225,94.025,57.815,65.975,91.745,
1990,9,1990-9,74.5,81.92,93.84,47.36,65.31,84.26,
1990,10,1990-10,66.8,73.59,85.23,36.63,69.03,69.31,
1990,11,1990-11,68.3,74.34,90.31,35.6,67.68,73.65,
1990,12*,1990-12,70.65,75.4,91.885,38.295,76.265,71.43,
1991,1,1991-1,73,76.46,93.46,40.99,84.85,69.21,
1991,2,1991 -2,77.3,72.25,95.5,57,84.12,77.84,
1991,3,1991-3,89,74.14,104.23,88.19,96.39,82.1,
1991,4,1991-4,85.5,76.95,96.1,82.62,86.53,85.45,
1991,5*,1991-5,85.3,76.615,97.525,82.935,80.385,89.06,
1991,6,1991-6,85.1,76.28,98.95,83.25,74.24,92.67,
1991,7,1991-7,82.1,75.43,97.98,82.18,62.33,92.59,
1991,8*,1991-8,80.85,74.405,97.775,77.19,63.91,90.875,
1991,9,1991-9,79.6,73.38,97.57,72.2,65.49,89.16,
1991,10,1991-10,70.4,66.02,92.19,54.12,63.28,76.37,
1991,11,1991-11,68.53,59.77,91.19,52.72,63.36,75.61,
1991,12,1991-12,64.1,60.97,92.22,37.24,62.85,67.32,
1992,1,1992-1,73.75,67.18,98.03,52.98,70.51,80.07,
1992,2,1992 -2,72.6,64.69,92.28,48.89,78.56,78.56,
1992,3,1992-3,76.8,68.05,94.94,64.65,74.97,81.49,
1992,4,1992-4,81,75.26,100.13,66.27,78.26,85.15,
1992,5,1992-5,77.9,72.67,94.63,75.21,63.44,83.49,
1992,6,1992-6,77.3,73.8,91.51,74.59,64.94,81.55,
1992,7,1992-7,76.5,73.44,97.39,66.27,62.07,83.32,
1992,8,1992-8,72.1,71.01,93.87,54.29,57.58,83.87,
1992,9,1992-9,79.4,73.99,100.44,63.58,65.17,93.93,
1992,10,1992-10,79.46,69.11,94.24,66.21,76.84,90.92,
1992,11,1992-11,82.05,68.04,95.46,80.91,84.13,81.75,
1992,12,1992-12,90.98,76.15,99.97,93.27,89.27,96.26,
1993,1,1993-1,91.3,78.21,100.24,93.49,82.77,101.86,
1993,2,1993 -2,84.46,74.93,92.89,86.14,74.93,93.43,
1993,3,1993-3,82.09,75.74,91.08,77.63,72.65,93.37,
1993,4,1993-4,82.32,76.6,89.92,77.05,70.98,97.03,
1993,5,1993-5,76.9,73.79,87.63,66.22,60.87,95.98,
1993,6,1993-6,78,79.25,90.53,64.03,61.21,94.6,
1993,7,1993-7,76,74.36,92.2,59.06,55.72,99.34,
