"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT11"
"USC00086078","2002-01-01",,,"0.74","0.0","0","65","54","59",,,
"USC00086078","2002-01-02",,,"0.00","0.0","0","73","54","56",,,
"USC00086078","2002-01-03",,,"0.20","0.0","0","73","56","58",,,
"USC00086078","2002-01-04",,,"0.00","0.0","0","69","40","40",,,
"USC00086078","2002-01-05",,,"0.00","0.0","0","56","36","39",,,
"USC00086078","2002-01-06",,,"0.00","0.0","0","71","41","63",,,
"USC00086078","2002-01-07",,,"0.25","0.0","0","73","59","63",,,
"USC00086078","2002-01-08",,,"0.00","0.0","0","69","41","41",,,
"USC00086078","2002-01-09",,,"0.00","0.0","0","59","37","37",,,
"USC00086078","2002-01-10",,,"0.00","0.0","0","64","38","42",,,
"USC00086078","2002-01-11",,,"0.00","0.0","0","76","42","49",,,
"USC00086078","2002-01-12",,,"0.00","0.0","0","79","49","53",,,
"USC00086078","2002-01-13",,,"0.00","0.0","0","79","53","64",,,
"USC00086078","2002-01-14",,,"0.00","0.0","0","75","60","61",,,
"USC00086078","2002-01-15",,,"1.55","0.0","0","76","65","67",,,
"USC00086078","2002-01-16",,,"0.50","0.0","0","76","59","59",,,
"USC00086078","2002-01-17",,,"0.02","0.0","0","81","57","63",,,
"USC00086078","2002-01-18",,,"0.08","0.0","0","84","57","65",,,
"USC00086078","2002-01-19",,,"0.00","0.0","0","80","59","73",,,
"USC00086078","2002-01-20",,,"0.08","0.0","0","83","64","70",,,
"USC00086078","2002-01-21",,,"0.00","0.0","0","86","65","81",,,
"USC00086078","2002-01-22",,,"0.00","0.0","0","86","65","67",,,
"USC00086078","2002-01-23",,,"0.00","0.0","0","84","65","65",,,
"USC00086078","2002-01-24",,,"0.00","0.0","0","85","64","64",,,
"USC00086078","2002-01-25",,,"0.00","0.0","0","84","62","62",,,
"USC00086078","2002-01-26",,,"0.00","0.0","0","86","60","75",,,
"USC00086078","2002-01-27",,,"0.00","0.0","0","87","65","65",,,
"USC00086078","2002-01-28",,,"0.00","0.0","0","86","63","64",,,
"USC00086078","2002-01-29",,,"0.00","0.0","0","88","63","67",,,
"USC00086078","2002-01-30",,,"0.00","0.0","0","87","63","66",,,
"USC00086078","2002-01-31",,,"0.00","0.0","0","87","66","67",,,
"USC00086078","2002-02-01",,,"0.00","0.0","0","88","64","64",,,
"USC00086078","2002-02-02",,,"0.00","0.0","0","86","64","77",,,
"USC00086078","2002-02-03",,,"0.00","0.0","0","85","65","69",,,
"USC00086078","2002-02-04",,,"0.00","0.0","0","85","57","57",,,
"USC00086078","2002-02-05",,,"0.00","0.0","0","75","51","51",,,
"USC00086078","2002-02-06",,,"0.00","0.0","0","77","50","56",,,
"USC00086078","2002-02-07",,,"0.00","0.0","0","80","62","65",,,
"USC00086078","2002-02-08",,,"0.10","0.0","0","81","55","55",,,
"USC00086078","2002-02-09",,,"0.00","0.0","0","68","53","67",,,
"USC00086078","2002-02-10",,,"0.05","0.0","0","81","63","79",,,
"USC00086078","2002-02-11",,,"0.05","0.0","0","83","59","60",,,
"USC00086078","2002-02-12",,,"0.05","0.0","0","76","57","57",,,
"USC00086078","2002-02-13",,,"0.00","0.0","0","81","56","57",,,
"USC00086078","2002-02-14",,,"0.34","0.0","0","79","57","57",,,
"USC00086078","2002-02-15",,,"0.02","0.0","0","70","55","59",,,
"USC00086078","2002-02-16",,,"0.03","0.0","0","83","59","66",,,
"USC00086078","2002-02-17",,,"0.70","0.0","0","69","56","65",,,
"USC00086078","2002-02-18",,,"0.00","0.0","0","73","47","58",,,
"USC00086078","2002-02-19",,,"0.00","0.0","0","75","51","51",,,
"USC00086078","2002-02-20",,,"0.00","0.0","0","77","51","58",,,
"USC00086078","2002-02-21",,,"0.00","0.0","0","81","66","58",,,
"USC00086078","2002-02-22",,,"0.00","0.0","0","83","65","65",,,
"USC00086078","2002-02-23",,,"0.32","0.0","0","83","64","66",,,
"USC00086078","2002-02-24",,,"0.28","0.0","0","72","52","62",,,
"USC00086078","2002-02-25",,,"0.00","0.0","0","72","50","50",,,
"USC00086078","2002-02-26",,,"0.00","0.0","0","79","49","56",,,
"USC00086078","2002-02-27",,,"0.00","0.0","0","80","57","58",,,
"USC00086078","2002-02-28",,,"0.00","0.0","0","65","39","39",,,
"USC00086078","2002-03-01",,,"0.00","0.0","0","68","38","54",,,
"USC00086078","2002-03-02",,,"0.07","0.0","0","78","57","78",,,
"USC00086078","2002-03-03",,,"0.00","0.0","0","83","71","82",,,
"USC00086078","2002-03-04",,,"0.00","0.0","0","86","62","61",,,
"USC00086078","2002-03-05",,,"0.02","0.0","0","64","45","46",,,
"USC00086078","2002-03-06",,,"0.00","0.0","0","71","56","57",,,
"USC00086078","2002-03-07",,,"0.00","0.0","0","74","57","63",,,
"USC00086078","2002-03-08",,,"0.05","0.0","0","75","62","63",,,
"USC00086078","2002-03-09",,,"0.00","0.0","0","85","61","82",,,
"USC00086078","2002-03-10",,,"0.00","0.0","0","87","62","75",,,
"USC00086078","2002-03-11",,,"0.00","0.0","0","87","61","62",,,
"USC00086078","2002-03-12",,,"0.00","0.0","0","85","61","64",,,
"USC00086078","2002-03-13",,,"0.00","0.0","0","85","63","70",,,
"USC00086078","2002-03-14",,,"0.00","0.0","0","84","60","61",,,
"USC00086078","2002-03-15",,,"0.00","0.0","0","85","60","62",,,
"USC00086078","2002-03-16",,,"0.00","0.0","0","91","62","80",,,
"USC00086078","2002-03-17",,,"0.08","0.0","0","90","63","80",,,
"USC00086078","2002-03-18",,,"0.00","0.0","0","90","63","65",,,
"USC00086078","2002-03-19",,,"0.00","0.0","0","90","63","65",,,
"USC00086078","2002-03-20",,,"0.00","0.0","0","89","64","65",,,
"USC00086078","2002-03-21",,,"0.00","0.0","0","89","64","64",,,
"USC00086078","2002-03-22",,,"0.00","0.0","0","87","65","72",,,
"USC00086078","2002-03-23",,,"0.02","0.0","0","84","58","72",,,
"USC00086078","2002-03-24",,,"0.00","0.0","0","84","65","80",,,
"USC00086078","2002-03-25",,,"0.00","0.0","0","87","66","66",,,
"USC00086078","2002-03-26",,,"1.20","0.0","0","90","66","66",,,
"USC00086078","2002-03-27",,,"0.00","0.0","0","90","65","66",,,
"USC00086078","2002-03-28",,,"0.00","0.0","0","88","65","65",,,
"USC00086078","2002-03-29",,,"0.00","0.0","0","84","64","66",,,
"USC00086078","2002-03-30",,,"0.00","0.0","0","89","66","80",,,
"USC00086078","2002-03-31",,,"0.00","0.0","0",,,,,,
"USC00086078","2002-04-01",,,"0.04","0.0","0","88","64","69",,,
"USC00086078","2002-04-02",,,"0.00","0.0","0","88","67","66",,,
"USC00086078","2002-04-03",,,"0.00","0.0","0","88","66","68",,,
"USC00086078","2002-04-04",,,"0.00","0.0","0","88","64","64",,,
"USC00086078","2002-04-05",,,"0.00","0.0","0","90","70","70",,,
"USC00086078","2002-04-06",,,"0.00","0.0","0","84","63","74",,,
"USC00086078","2002-04-07",,,"0.00","0.0","0","84","59","71",,,
"USC00086078","2002-04-08",,,"0.03","0.0","0","84","63","63",,,
"USC00086078","2002-04-09",,,"0.00","0.0","0","86","64","64",,,
"USC00086078","2002-04-10",,,"0.00","0.0","0","87","65","64",,,
"USC00086078","2002-04-11",,,"0.17","0.0","0","89","65","65",,,
"USC00086078","2002-04-12",,,"0.00","0.0","0","86","65","65",,,
"USC00086078","2002-04-13",,,"1.22","0.0","0","84","64","71",,,
"USC00086078","2002-04-14",,,"0.00","0.0","0","85","64","80",,,
"USC00086078","2002-04-15",,,"0.05","0.0","0","87","64","65",,,
"USC00086078","2002-04-16",,,"0.24","0.0","0","88","64","67",,,
"USC00086078","2002-04-17",,,"0.23","0.0","0","89","67","68",,,
"USC00086078","2002-04-18",,,"0.00","0.0","0","90","67","67",,,
"USC00086078","2002-04-19",,,"0.12","0.0","0","88","66","66",,,
"USC00086078","2002-04-20",,,"0.00","0.0","0","84","64","74",,,
"USC00086078","2002-04-21",,,"0.07","0.0","0","88","66","82",,,
"USC00086078","2002-04-22",,,"0.05","0.0","0","88","66","69",,,
"USC00086078","2002-04-23",,,"0.00","0.0","0","89","69","69",,,
"USC00086078","2002-04-24",,,"0.05","0.0","0","91","70","73",,,
"USC00086078","2002-04-25",,,"0.00","0.0","0","91","69","69",,,
"USC00086078","2002-04-26",,,"0.00","0.0","0","91","68","69",,,
"USC00086078","2002-04-27",,,"0.00","0.0","0","91","68","79",,,
"USC00086078","2002-04-28",,,"0.11","0.0","0","91","67","80",,,
"USC00086078","2002-04-29",,,"0.05","0.0","0","91","69","69",,,
"USC00086078","2002-04-30",,,"0.00","0.0","0","89","68","68",,,
"USC00086078","2002-05-01",,,"0.00","0.0","0","90","68","68",,,
"USC00086078","2002-05-02",,,"0.00","0.0","0","89","67","69",,,
"USC00086078","2002-05-03",,,"0.10","0.0","0","92","68","70",,,
"USC00086078","2002-05-04",,,"0.00","0.0","0","94","69","70",,,
